edge,node_from,node_to,,,,,,,
IND-ROW,IND,ROW,,,,,,,
IND-SWE,IND,SWE,,,,,,,
IND-USA,IND,USA,,,,,,,
JPN-AUS,JPN,AUS,,,,,,,
JPN-BRA,JPN,BRA,,,,,,,
JPN-CHE,JPN,CHE,,,,,,,
JPN-CHN,JPN,CHN,,,,,,,
JPN-DEU,JPN,DEU,,,,,,,
JPN-DNK,JPN,DNK,,,,,,,
JPN-GBR,JPN,GBR,,,,,,,
JPN-IND,JPN,IND,,,,,,,
JPN-NLD,JPN,NLD,,,,,,,
JPN-ROE,JPN,ROE,,,,,,,
JPN-ROW,JPN,ROW,,,,,,,
JPN-SWE,JPN,SWE,,,,,,,
JPN-USA,JPN,USA,,,,,,,
NLD-AUS,NLD,AUS,,,,,,,
NLD-BRA,NLD,BRA,,,,,,,
NLD-CHE,NLD,CHE,,,,,,,
NLD-CHN,NLD,CHN,,,,,,,
NLD-DEU,NLD,DEU,,,,,,,
NLD-DNK,NLD,DNK,,,,,,,
NLD-GBR,NLD,GBR,,,,,,,
NLD-IND,NLD,IND,,,,,,,
NLD-JPN,NLD,JPN,,,,,,,
NLD-ROE,NLD,ROE,,,,,,,
NLD-ROW,NLD,ROW,,,,,,,
NLD-SWE,NLD,SWE,,,,,,,
NLD-USA,NLD,USA,,,,,,,
ROE-AUS,ROE,AUS,,,,,,,
ROE-BRA,ROE,BRA,,,,,,,
ROE-CHE,ROE,CHE,,,,,,,
ROE-CHN,ROE,CHN,,,,,,,
ROE-DEU,ROE,DEU,,,,,,,
ROE-DNK,ROE,DNK,,,,,,,
ROE-GBR,ROE,GBR,,,,,,,
ROE-IND,ROE,IND,,,,,,,
ROE-JPN,ROE,JPN,,,,,,,
ROE-NLD,ROE,NLD,,,,,,,
ROE-ROW,ROE,ROW,,,,,,,
ROE-SWE,ROE,SWE,,,,,,,
ROE-USA,ROE,USA,,,,,,,
ROW-AUS,ROW,AUS,,,,,,,
ROW-BRA,ROW,BRA,,,,,,,
ROW-CHE,ROW,CHE,,,,,,,
ROW-CHN,ROW,CHN,,,,,,,
ROW-DEU,ROW,DEU,,,,,,,
ROW-DNK,ROW,DNK,,,,,,,
ROW-GBR,ROW,GBR,,,,,,,
ROW-IND,ROW,IND,,,,,,,
ROW-JPN,ROW,JPN,,,,,,,
ROW-NLD,ROW,NLD,,,,,,,
ROW-ROE,ROW,ROE,,,,,,,
ROW-SWE,ROW,SWE,,,,,,,
ROW-USA,ROW,USA,,,,,,,
SWE-AUS,SWE,AUS,,,,,,,
SWE-BRA,SWE,BRA,,,,,,,
SWE-CHE,SWE,CHE,,,,,,,
SWE-CHN,SWE,CHN,,,,,,,
SWE-DEU,SWE,DEU,,,,,,,
SWE-DNK,SWE,DNK,,,,,,,
SWE-GBR,SWE,GBR,,,,,,,
SWE-IND,SWE,IND,,,,,,,
SWE-JPN,SWE,JPN,,,,,,,
SWE-NLD,SWE,NLD,,,,,,,
SWE-ROE,SWE,ROE,,,,,,,
SWE-ROW,SWE,ROW,,,,,,,
SWE-USA,SWE,USA,,,,,,,
USA-AUS,USA,AUS,,,,,,,
USA-BRA,USA,BRA,,,,,,,
USA-CHE,USA,CHE,,,,,,,
USA-CHN,USA,CHN,,,,,,,
USA-DEU,USA,DEU,,,,,,,
USA-DNK,USA,DNK,,,,,,,
USA-GBR,USA,GBR,,,,,,,
USA-IND,USA,IND,,,,,,,
USA-JPN,USA,JPN,,,,,,,
USA-NLD,USA,NLD,,,,,,,
USA-ROE,USA,ROE,,,,,,,
USA-ROW,USA,ROW,,,,,,,
USA-SWE,USA,SWE,,,,,,,
