edge,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
GBR-DNK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
GBR-IND,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
GBR-JPN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
GBR-NLD,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
GBR-ROE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
GBR-ROW,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
GBR-SWE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
GBR-USA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IND-AUS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IND-BRA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IND-CHE,inf,inf,inf,inf,0,0,0,0,0,0
IND-CHN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IND-DEU,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IND-DNK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IND-GBR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IND-JPN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IND-NLD,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IND-ROE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IND-ROW,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IND-SWE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IND-USA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JPN-AUS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JPN-BRA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JPN-CHE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JPN-CHN,inf,inf,inf,inf,0,0,0,0,0,0
JPN-DEU,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JPN-DNK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JPN-GBR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JPN-IND,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JPN-NLD,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JPN-ROE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JPN-ROW,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JPN-SWE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JPN-USA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
NLD-AUS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
NLD-BRA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
NLD-CHE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
NLD-CHN,inf,inf,inf,inf,0,0,0,0,0,0
NLD-DEU,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
NLD-DNK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
NLD-GBR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
NLD-IND,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
NLD-JPN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
NLD-ROE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
NLD-ROW,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
NLD-SWE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
NLD-USA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROE-AUS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROE-BRA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROE-CHE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROE-CHN,inf,inf,inf,inf,0,0,0,0,0,0
ROE-DEU,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROE-DNK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROE-GBR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROE-IND,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROE-JPN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROE-NLD,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROE-ROW,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROE-SWE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROE-USA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROW-AUS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROW-BRA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROW-CHE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROW-CHN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROW-DEU,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROW-DNK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROW-GBR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROW-IND,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROW-JPN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROW-NLD,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROW-ROE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROW-SWE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROW-USA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
SWE-AUS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
SWE-BRA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
SWE-CHE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
SWE-CHN,inf,inf,inf,inf,0,0,0,0,0,0
SWE-DEU,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
SWE-DNK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
SWE-GBR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
SWE-IND,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
SWE-JPN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
SWE-NLD,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
SWE-ROE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
SWE-ROW,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
SWE-USA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
USA-AUS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
USA-BRA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
USA-CHE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
USA-CHN,inf,inf,inf,inf,0,0,0,0,0,0
USA-DEU,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
USA-DNK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
USA-GBR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
USA-IND,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
USA-JPN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
USA-NLD,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
USA-ROE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
USA-ROW,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
USA-SWE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
